"","GSM442574.CEL","GSM442574.CEL.gz","GSM442575.CEL","GSM442575.CEL.gz","GSM442576.CEL","GSM442576.CEL.gz","GSM442577.CEL","GSM442577.CEL.gz","GSM442578.CEL","GSM442578.CEL.gz","GSM442579.CEL","GSM442579.CEL.gz","GSM442580.CEL","GSM442580.CEL.gz"
"Gga.10122.1.S1_at",3.32770433948948,3.32770433948948,3.12623292348061,3.12623292348061,3.25363095773005,3.25363095773005,3.24997558122426,3.24997558122426,3.20737245863816,3.20737245863816,3.24997558122426,3.24997558122426,3.24997558122426,3.24997558122426
"Gga.10123.1.S1_a_at",4.21072720503927,4.21072720503927,4.02264489558034,4.02264489558034,4.2968458327891,4.2968458327891,4.02264489558034,4.02264489558034,4.02264489558034,4.02264489558034,3.95377312934928,3.95377312934928,3.98653205519838,3.98653205519838
"Gga.10124.1.S1_at",4.06501480947267,4.06501480947267,4.160870578532,4.160870578532,4.07004376057924,4.07004376057924,4.16521863150035,4.16521863150035,4.160870578532,4.160870578532,4.57017260370385,4.57017260370385,4.14530318526499,4.14530318526499
"Gga.10124.2.S1_a_at",3.84180943088045,3.84180943088045,3.97243077877925,3.97243077877925,3.84180943088045,3.84180943088045,3.79890125602047,3.79890125602047,3.50665744991423,3.50665744991423,4.06772973235445,4.06772973235445,3.76240761982676,3.76240761982676
"Gga.10125.1.S1_a_at",3.19828578514295,3.19828578514295,3.53922357699286,3.53922357699286,3.21811974206741,3.21811974206741,3.34244194717764,3.34244194717764,3.22212940303506,3.22212940303506,3.30963655499176,3.30963655499176,3.17527722230602,3.17527722230602
"Gga.10126.1.A1_at",3.2367754698858,3.2367754698858,3.07470053981364,3.07470053981364,3.2367754698858,3.2367754698858,3.02583062102936,3.02583062102936,3.2367754698858,3.2367754698858,3.2367754698858,3.2367754698858,3.41815919544457,3.41815919544457
"Gga.10126.1.S1_at",2.43942234715643,2.43942234715643,2.4803902359832,2.4803902359832,2.37410727119404,2.37410727119404,2.43942234715643,2.43942234715643,2.29069549032604,2.29069549032604,2.56882471634281,2.56882471634281,2.43942234715643,2.43942234715643
"Gga.10127.1.S1_at",6.42378793395548,6.42378793395548,6.0876330362339,6.0876330362339,6.28071283898854,6.28071283898854,6.0876330362339,6.0876330362339,6.02446456333603,6.02446456333603,5.69280533489199,5.69280533489199,5.63605192016868,5.63605192016868
"Gga.10128.1.S1_at",3.84744515214775,3.84744515214775,3.84744515214775,3.84744515214775,3.95671663931559,3.95671663931559,3.67956920200877,3.67956920200877,3.84744515214775,3.84744515214775,3.84744515214775,3.84744515214775,3.88418519354901,3.88418519354901
"Gga.10129.1.S1_at",2.4299611748044,2.4299611748044,2.61359779655493,2.61359779655493,2.52763832571738,2.52763832571738,2.58692323408445,2.58692323408445,2.54232416849222,2.54232416849222,2.57458950127183,2.57458950127183,2.57458950127183,2.57458950127183
"Gga.1013.1.S1_at",3.63957419441424,3.63957419441424,3.78438182107791,3.78438182107791,3.68524403523811,3.68524403523811,3.68524403523811,3.68524403523811,3.68524403523811,3.68524403523811,3.77502221960757,3.77502221960757,3.5389982994104,3.5389982994104
"Gga.1013.2.S1_a_at",4.7862522330495,4.7862522330495,4.72702757504458,4.72702757504458,4.6583003782114,4.6583003782114,4.72702757504458,4.72702757504458,4.72702757504458,4.72702757504458,4.72702757504458,4.72702757504458,4.7871786643019,4.7871786643019
"Gga.10130.1.S1_s_at",4.65206405280804,4.65206405280804,4.63316591260379,4.63316591260379,4.65206405280804,4.65206405280804,4.91928068290078,4.91928068290078,4.60706125492441,4.60706125492441,4.65728906203264,4.65728906203264,4.6211964223687,4.6211964223687
"Gga.10131.2.S1_a_at",2.91971447714951,2.91971447714951,3.01022857643115,3.01022857643115,2.9632774008767,2.9632774008767,3.01022857643115,3.01022857643115,3.01022857643115,3.01022857643115,3.18870286281992,3.18870286281992,2.89675440536042,2.89675440536042
"Gga.10132.1.S1_at",2.99456532797457,2.99456532797457,2.92984316770119,2.92984316770119,3.14245944562251,3.14245944562251,3.24732912552375,3.24732912552375,3.09436296800745,3.09436296800745,3.10125389940894,3.10125389940894,3.02940644931741,3.02940644931741
"Gga.10133.1.S1_s_at",6.08524339919669,6.08524339919669,5.51392713375307,5.51392713375307,5.4166988759484,5.4166988759484,5.77606671486207,5.77606671486207,5.39097176436781,5.39097176436781,5.409883926155,5.409883926155,5.81179432398972,5.81179432398972
"Gga.10134.1.S1_at",5.58073646238127,5.58073646238127,5.59079421522218,5.59079421522218,5.66507457648457,5.66507457648457,5.59019842961508,5.59019842961508,5.58073646238127,5.58073646238127,5.60156771972992,5.60156771972992,5.63910550869113,5.63910550869113
"Gga.10135.1.S1_at",3.89528910450342,3.89528910450342,4.02715857602919,4.02715857602919,4.15313864713885,4.15313864713885,3.98343659206393,3.98343659206393,3.98343659206393,3.98343659206393,3.98343659206393,3.98343659206393,3.98343659206393,3.98343659206393
"Gga.10136.1.A1_at",3.87213830719518,3.87213830719518,3.78551025556794,3.78551025556794,3.87213830719518,3.87213830719518,4.00235032343755,4.00235032343755,4.16185754292784,4.16185754292784,3.90951439417676,3.90951439417676,3.87213830719518,3.87213830719518
"Gga.10137.1.S1_s_at",6.31087558154862,6.31087558154862,6.30437233421011,6.30437233421011,6.25952566259676,6.25952566259676,6.48361461260444,6.48361461260444,6.45289620601875,6.45289620601875,6.30437233421011,6.30437233421011,6.04906023444389,6.04906023444389
"Gga.10138.1.S1_at",4.71824018131516,4.71824018131516,4.94018187802763,4.94018187802763,4.93576224459174,4.93576224459174,5.365889476829,5.365889476829,5.18041229495191,5.18041229495191,4.88436277022731,4.88436277022731,4.94018187802763,4.94018187802763
"Gga.10138.2.S1_a_at",3.09894522422907,3.09894522422907,2.87379227251089,2.87379227251089,2.87822126864135,2.87822126864135,2.97749728109134,2.97749728109134,3.27097873788434,3.27097873788434,2.8816875141835,2.8816875141835,2.84721978888549,2.84721978888549
"Gga.10138.3.A1_at",2.91803282451695,2.91803282451695,3.3471442388093,3.3471442388093,3.77121984273904,3.77121984273904,3.62875694522046,3.62875694522046,3.19613161547201,3.19613161547201,3.47404980736314,3.47404980736314,3.47404980736314,3.47404980736314
"Gga.10138.3.S1_at",2.67417913677426,2.67417913677426,2.24964685629044,2.24964685629044,2.48584579686818,2.48584579686818,2.28407547634043,2.28407547634043,2.48584579686818,2.48584579686818,2.29278500830215,2.29278500830215,2.36966805285295,2.36966805285295
"Gga.10139.1.S1_at",2.72862832853255,2.72862832853255,2.42793537226383,2.42793537226383,2.4344054594323,2.4344054594323,2.52213463755246,2.52213463755246,2.4840868856712,2.4840868856712,2.52213463755246,2.52213463755246,2.57458950127183,2.57458950127183
"Gga.10139.1.S1_s_at",3.5367599902458,3.5367599902458,3.49501558867655,3.49501558867655,3.24017228281988,3.24017228281988,3.53922357699286,3.53922357699286,3.49501558867655,3.49501558867655,3.34503456794687,3.34503456794687,3.49501558867655,3.49501558867655
"Gga.1014.1.S1_at",3.81028616486077,3.81028616486077,3.96301256480835,3.96301256480835,3.67527905862009,3.67527905862009,3.72463096854535,3.72463096854535,3.7963756482089,3.7963756482089,3.89962054245139,3.89962054245139,3.94045627776326,3.94045627776326
"Gga.1014.2.S1_at",8.96827001959692,8.96827001959692,9.55302164948601,9.55302164948601,9.22515980885108,9.22515980885108,9.19332869993791,9.19332869993791,9.34728235179102,9.34728235179102,9.26351133578468,9.26351133578468,9.04063376389428,9.04063376389428
"Gga.10140.1.S1_at",2.54160719254259,2.54160719254259,2.65778493655782,2.65778493655782,2.5383058542897,2.5383058542897,2.50288634679347,2.50288634679347,2.30183584221735,2.30183584221735,2.54160719254259,2.54160719254259,2.70931886862011,2.70931886862011
"Gga.10140.1.S1_s_at",2.20037404196701,2.20037404196701,2.52213463755246,2.52213463755246,2.42243596919722,2.42243596919722,2.42243596919722,2.42243596919722,2.42243596919722,2.42243596919722,2.42243596919722,2.42243596919722,2.29325859322511,2.29325859322511
"Gga.10142.1.S1_at",3.66883602151799,3.66883602151799,3.5809847718894,3.5809847718894,3.50132480031137,3.50132480031137,3.60298595791973,3.60298595791973,3.60298595791973,3.60298595791973,3.60298595791973,3.60298595791973,3.63337922332279,3.63337922332279
"Gga.10144.1.A1_at",5.29095966250887,5.29095966250887,5.24412075535573,5.24412075535573,5.28278999214916,5.28278999214916,5.29496932347652,5.29496932347652,5.29095966250887,5.29095966250887,5.35826193688969,5.35826193688969,5.28876957750174,5.28876957750174
"Gga.10144.1.S1_at",3.56885228947996,3.56885228947996,3.34456038906121,3.34456038906121,3.52594411461998,3.52594411461998,3.52594411461998,3.52594411461998,3.53462462333223,3.53462462333223,3.52415132752381,3.52415132752381,3.52594411461998,3.52594411461998
"Gga.10145.1.S1_a_at",2.82545508453097,2.82545508453097,2.56520719657184,2.56520719657184,2.48584579686818,2.48584579686818,2.72177406999686,2.72177406999686,2.56520719657184,2.56520719657184,2.76609741552788,2.76609741552788,2.56026281690608,2.56026281690608
"Gga.10146.1.S1_at",3.31636327610722,3.31636327610722,3.36275554099545,3.36275554099545,3.36275554099545,3.36275554099545,3.38202602751057,3.38202602751057,3.36275554099545,3.36275554099545,3.2397052432728,3.2397052432728,3.36275554099545,3.36275554099545
"Gga.10146.2.S1_a_at",4.19733291443133,4.19733291443133,3.98641709821279,3.98641709821279,4.39735535274458,4.39735535274458,4.07152253561761,4.07152253561761,4.32482782786938,4.32482782786938,4.19733291443133,4.19733291443133,4.09094887042038,4.09094887042038
"Gga.10147.1.S1_at",3.46995057635194,3.46995057635194,3.48282414767354,3.48282414767354,3.48282414767354,3.48282414767354,3.48282414767354,3.48282414767354,3.48282414767354,3.48282414767354,3.48282414767354,3.48282414767354,3.60832958867543,3.60832958867543
"Gga.10149.1.S1_at",5.71926766825278,5.71926766825278,5.96411890744991,5.96411890744991,5.89804216354972,5.89804216354972,5.87101094745641,5.87101094745641,5.59292875363005,5.59292875363005,5.89804216354972,5.89804216354972,5.94418274536726,5.94418274536726
"Gga.1015.1.S1_s_at",4.7117604880185,4.7117604880185,4.90335675099203,4.90335675099203,4.90335675099203,4.90335675099203,5.01474323891682,5.01474323891682,4.90335675099203,4.90335675099203,5.19985018710127,5.19985018710127,4.90335675099203,4.90335675099203
"Gga.10150.1.S1_s_at",2.82147233257024,2.82147233257024,2.85255330051756,2.85255330051756,2.78427390534091,2.78427390534091,2.7155826229257,2.7155826229257,2.82147233257024,2.82147233257024,2.85750067908792,2.85750067908792,2.78427390534091,2.78427390534091
"Gga.10151.1.S1_at",3.02583305826154,3.02583305826154,2.4755430354625,2.4755430354625,2.62847596167798,2.62847596167798,2.8048285597379,2.8048285597379,2.86712295446831,2.86712295446831,2.51405078435057,2.51405078435057,2.61799040661179,2.61799040661179
"Gga.10151.1.S1_s_at",2.62650529205722,2.62650529205722,2.77642156801964,2.77642156801964,2.57557034330086,2.57557034330086,2.5852371981621,2.5852371981621,2.61577494521634,2.61577494521634,2.6621983949281,2.6621983949281,2.30997140236007,2.30997140236007
"Gga.10152.1.S1_at",6.60496165541977,6.60496165541977,6.4557218948683,6.4557218948683,6.60496165541977,6.60496165541977,6.60496165541977,6.60496165541977,6.51839800751897,6.51839800751897,6.70285937161408,6.70285937161408,6.60496165541977,6.60496165541977
"Gga.10153.1.S1_at",3.23958227132477,3.23958227132477,3.17153348783416,3.17153348783416,3.08453600786534,3.08453600786534,3.1531885634759,3.1531885634759,3.06211992020177,3.06211992020177,2.97868502502545,2.97868502502545,3.1531885634759,3.1531885634759
"Gga.10154.1.S1_at",5.09447086451694,5.09447086451694,5.0829754714121,5.0829754714121,5.08103996845532,5.08103996845532,5.2671633646001,5.2671633646001,4.83379828995081,4.83379828995081,5.0829754714121,5.0829754714121,5.17360399998461,5.17360399998461
"Gga.10155.1.S1_at",4.47086658867947,4.47086658867947,4.65151968556846,4.65151968556846,4.65151968556846,4.65151968556846,4.60765880342188,4.60765880342188,4.65151968556846,4.65151968556846,4.8136606372675,4.8136606372675,4.60688972752788,4.60688972752788
"Gga.10156.1.S1_at",4.41020873239134,4.41020873239134,4.08054042457948,4.08054042457948,4.12763391639276,4.12763391639276,4.02432141852598,4.02432141852598,4.18030938481869,4.18030938481869,4.26920834348231,4.26920834348231,4.36541633300314,4.36541633300314
"Gga.10156.2.S1_a_at",7.42653074792334,7.42653074792334,7.14232058527711,7.14232058527711,7.42653074792334,7.42653074792334,7.42653074792334,7.42653074792334,7.58791489546418,7.58791489546418,7.48680562740601,7.48680562740601,7.31565418726294,7.31565418726294
"Gga.10156.2.S1_at",4.23009611215158,4.23009611215158,4.65961811295161,4.65961811295161,4.30989678727156,4.30989678727156,4.20678884488881,4.20678884488881,4.23009611215158,4.23009611215158,4.23009611215158,4.23009611215158,4.23009611215158,4.23009611215158
"Gga.10157.2.S1_at",2.79923729379627,2.79923729379627,3.07855897726797,3.07855897726797,2.90066201243699,2.90066201243699,3.07855897726797,3.07855897726797,3.18568434133924,3.18568434133924,3.05888345834877,3.05888345834877,3.16626095337778,3.16626095337778
"Gga.10157.2.S1_s_at",2.58770132847824,2.58770132847824,2.76944622599771,2.76944622599771,2.54372207285981,2.54372207285981,2.64129006481837,2.64129006481837,2.7112932035905,2.7112932035905,2.61237462847037,2.61237462847037,2.61237462847037,2.61237462847037
"Gga.10158.1.S1_at",4.73675493182895,4.73675493182895,4.63646668392618,4.63646668392618,4.53081078498971,4.53081078498971,4.63646668392618,4.63646668392618,4.42854931788907,4.42854931788907,4.64288974845172,4.64288974845172,4.63646668392618,4.63646668392618
"Gga.10159.2.S1_a_at",4.75839581842655,4.75839581842655,4.5298326228352,4.5298326228352,4.48821376254166,4.48821376254166,4.48821376254166,4.48821376254166,4.48821376254166,4.48821376254166,4.48821376254166,4.48821376254166,4.46270718710787,4.46270718710787
"Gga.1016.1.A1_at",5.31763033679251,5.31763033679251,5.70847709916636,5.70847709916636,5.29719545397742,5.29719545397742,5.35591618119891,5.35591618119891,5.4001033212018,5.4001033212018,5.67528848481905,5.67528848481905,5.35591618119891,5.35591618119891
"Gga.1016.1.S1_s_at",7.21570858569915,7.21570858569915,7.33120104299608,7.33120104299608,7.39783230570021,7.39783230570021,7.29020792701513,7.29020792701513,7.39512335129316,7.39512335129316,7.35220587685413,7.35220587685413,7.33120104299608,7.33120104299608
"Gga.10160.1.S1_at",3.42025205851223,3.42025205851223,3.17118682094289,3.17118682094289,3.26822712354586,3.26822712354586,3.27171170901145,3.27171170901145,3.26822712354586,3.26822712354586,3.26822712354586,3.26822712354586,3.26822712354586,3.26822712354586
"Gga.10161.1.S1_at",2.86475863203757,2.86475863203757,2.70722101692226,2.70722101692226,2.75410282076172,2.75410282076172,2.70722101692226,2.70722101692226,2.74861175451058,2.74861175451058,2.5797657921509,2.5797657921509,2.70722101692226,2.70722101692226
"Gga.10162.1.A1_at",3.79926260063418,3.79926260063418,3.01022857643115,3.01022857643115,3.49746616921494,3.49746616921494,3.53922357699286,3.53922357699286,3.53922357699286,3.53922357699286,3.40898895947527,3.40898895947527,3.6494870711042,3.6494870711042
"Gga.10162.1.S1_at",5.89458458652374,5.89458458652374,5.76137702595201,5.76137702595201,5.89514016969976,5.89514016969976,5.56865302976084,5.56865302976084,5.89458458652374,5.89458458652374,5.89458458652374,5.89458458652374,5.9431851848969,5.9431851848969
